Geo_QName,Geo_FIPS
1-A,4210100001A000
1-B,4210100001B000
1-C,4210100001C000
2-A,4210100002A000
2-B,4210100002B000
3-A,4210100003A000
3-B,4210100003B000
4-A,4210100004A000
4-B,4210100004B000
5-A,4210100005A000
6-A,4210100006A000
7-A,4210100007A000
7-C,4210100007C000
8-A,4210100008A000
8-B,4210100008B000
8-C,4210100008C000
8-D,4210100008D000
9-A,4210100009A000
9-B,4210100009B000
10-A,4210100010A000
10-B,4210100010B000
11-A,4210100011A000
12-A,4210100012A000
12-B,4210100012B000
13-A,4210100013A000
13-B,4210100013B000
14-A,4210100014A000
14-B,4210100014B000
15-A,4210100015A000
15-B,4210100015B000
15-C,4210100015C000
15-D,4210100015D000
15-E,4210100015
16-A,4210100016A000
17-A,4210100017A000
18-A,4210100018A000
18-B,4210100018B000
18-D,4210100018D000
19-A,4210100019A000
19-B,4210100019B000
19-C,4210100019C000
19-D,4210100019D000
19-E,4210100019
20-A,4210100020A000
20-B,4210100020B000
20-D,4210100020D000
20-E,4210100020
21-A,4210100021A000
21-B,4210100021B000
21-C,4210100021C000
21-D,4210100021D000
21-F,4210100021F000
21-H,4210100021H000
21-J,4210100021J000
21-K,4210100021K000
21-L,4210100021L000
21-N,4210100021N000
21-Q,4210100021Q000
21-R,4210100021R000
21-S,4210100021S000
21-T,4210100021T000
21-U,4210100021U000
21-V,4210100021V000
22-A,4210100022A000
22-B,4210100022B000
22-C,4210100022C000
22-D,4210100022D000
22-E,4210100022
22-F,4210100022F000
22-G,4210100022G000
22-H,4210100022H000
22-I,4210100022I000
22-J,4210100022J000
22-K,4210100022K000
22-L,4210100022L000
22-M,4210100022M000
22-N,4210100022N000
22-O,4210100022O000
22-P,4210100022P000
23-A,4210100023A000
23-B,4210100023B000
23-D,4210100023D000
23-E,4210100023
23-F,4210100023F000
23-G,4210100023G000
23-H,4210100023H000
23-I,4210100023I000
23-J,4210100023J000
23-K,4210100023K000
24-A,4210100024A000
24-B,4210100024B000
24-C,4210100024C000
24-D,4210100024D000
24-E,4210100024
24-F,4210100024F000
24-G,4210100024G000
24-H,4210100024H000
24-I,4210100024I000
24-J,4210100024J000
24-K,4210100024K000
25-A,4210100025A000
25-B,4210100025B000
25-C,4210100025C000
25-D,4210100025D000
26-A,4210100026A000
26-B,4210100026B000
26-C,4210100026C000
26-D,4210100026D000
26-E,4210100026
26-F,4210100026F000
27-A,4210100027A000
27-B,4210100027B000
27-C,4210100027C000
27-D,4210100027D000
27-E,4210100027
28-A,4210100028A000
28-B,4210100028B000
28-C,4210100028C000
28-D,4210100028D000
29-A,4210100029A000
29-B,4210100029B000
29-C,4210100029C000
29-D,4210100029D000
30-A,4210100030A000
30-B,4210100030B000
30-C,4210100030C000
31-A,4210100031A000
31-B,4210100031B000
32-A,4210100032A000
32-C,4210100032C000
32-D,4210100032D000
32-E,4210100032
32-F,4210100032F000
33-B,4210100033B000
33-C,4210100033C000
33-D,4210100033D000
33-E,4210100033
33-F,4210100033F000
33-G,4210100033G000
33-H,4210100033H000
33-I,4210100033I000
33-J,4210100033J000
34-I,4210100034I000
34-J,4210100034J000
34-K,4210100034K000
34-M,4210100034M000
34-N,4210100034N000
34-O,4210100034O000
34-P,4210100034P000
34-R,4210100034R000
34-S,4210100034S000
35-A,4210100035A000
35-B,4210100035B000
35-C,4210100035C000
35-D,4210100035D000
35-E,4210100035
35-F,4210100035F000
35-G,4210100035G000
36-A,4210100036A000
36-B,4210100036B000
36-C,4210100036C000
36-D,4210100036D000
36-E,4210100036
36-F,4210100036F000
37-A,4210100037A000
37-B,4210100037B000
37-C,4210100037C000
37-F,4210100037F000
38-A,4210100038A000
38-C,4210100038C000
38-D,4210100038D000
38-E,4210100038
38-F,4210100038F000
38-G,4210100038G000
38-H,4210100038H000
38-I,4210100038I000
38-J,4210100038J000
39-A,4210100039A000
39-B,4210100039B000
39-C,4210100039C000
39-D,4210100039D000
39-E,4210100039
39-F,4210100039F000
39-G,4210100039G000
39-H,4210100039H000
39-K,4210100039K000
40-A,4210100040A000
40-B,4210100040B000
40-C,4210100040C000
40-D,4210100040D000
40-E,4210100040
40-F,4210100040F000
40-G,4210100040G000
40-H,4210100040H000
40-I,4210100040I000
40-J,4210100040J000
40-K,4210100040K000
40-L,4210100040L000
40-M,4210100040M000
40-N,4210100040N000
40-O,4210100040O000
40-R,4210100040R000
40-S,4210100040S000
41-A,4210100041A000
41-B,4210100041B000
41-C,4210100041C000
41-D,4210100041D000
41-E,4210100041
41-G,4210100041G000
41-H,4210100041H000
41-I,4210100041I000
41-J,4210100041J000
41-K,4210100041K000
41-L,4210100041L000
41-M,4210100041M000
41-N,4210100041N000
41-O,4210100041O000
41-P,4210100041P000
41-Q,4210100041Q000
42-A,4210100042A000
42-B,4210100042B000
42-C,4210100042C000
42-D,4210100042D000
42-E,4210100042
42-F,4210100042F000
42-G,4210100042G000
42-H,4210100042H000
42-I,4210100042I000
43-A,4210100043A000
43-B,4210100043B000
43-C,4210100043C000
43-D,4210100043D000
43-E,4210100043
43-F,4210100043F000
44-A,4210100044A000
44-B,4210100044B000
44-C,4210100044C000
44-D,4210100044D000
44-E,4210100044
45-A,4210100045A000
45-C,4210100045C000
45-D,4210100045D000
45-E,4210100045
45-G,4210100045G000
45-H,4210100045H000
45-I,4210100045I000
45-J,4210100045J000
46-A,4210100046A000
46-B,4210100046B000
46-C,4210100046C000
46-D,4210100046D000
46-E,4210100046
46-F,4210100046F000
46-G,4210100046G000
46-H,4210100046H000
46-I,4210100046I000
47-A,4210100047A000
47-B,4210100047B000
47-C,4210100047C000
47-D,4210100047D000
48-A,4210100048A000
48-B,4210100048B000
48-C,4210100048C000
48-D,4210100048D000
48-E,4210100048
48-F,4210100048F000
49-A,4210100049A000
49-B,4210100049B000
49-C,4210100049C000
49-D,4210100049D000
49-E,4210100049
49-F,4210100049F000
49-G,4210100049G000
49-H,4210100049H000
50-A,4210100050A000
50-B,4210100050B000
50-C,4210100050C000
50-D,4210100050D000
50-E,4210100050
50-F,4210100050F000
50-G,4210100050G000
50-H,4210100050H000
50-I,4210100050I000
50-J,4210100050J000
50-K,4210100050K000
50-L,4210100050L000
50-M,4210100050M000
50-N,4210100050N000
50-O,4210100050O000
50-P,4210100050P000
51-A,4210100051A000
51-B,4210100051B000
51-C,4210100051C000
51-D,4210100051D000
51-E,4210100051
51-F,4210100051F000
51-G,4210100051G000
52-A,4210100052A000
52-B,4210100052B000
52-C,4210100052C000
52-D,4210100052D000
52-F,4210100052F000
52-G,4210100052G000
52-H,4210100052H000
52-I,4210100052I000
52-J,4210100052J000
52-K,4210100052K000
52-L,4210100052L000
53-A,4210100053A000
53-B,4210100053B000
53-C,4210100053C000
53-D,4210100053D000
54-A,4210100054A000
54-B,4210100054B000
54-C,4210100054C000
55-A,4210100055A000
55-B,4210100055B000
55-C,4210100055C000
55-D,4210100055D000
56-A,4210100056A000
56-B,4210100056B000
56-C,4210100056C000
56-D,4210100056D000
56-E,4210100056
56-F,4210100056F000
56-G,4210100056G000
56-H,4210100056H000
56-I,4210100056I000
56-J,4210100056J000
56-K,4210100056K000
57-A,4210100057A000
57-B,4210100057B000
57-C,4210100057C000
57-D,4210100057D000
57-E,4210100057
57-F,4210100057F000
57-G,4210100057G000
57-H,4210100057H000
58-A,4210100058A000
58-B,4210100058B000
58-C,4210100058C000
58-D,4210100058D000
58-E,4210100058
58-F,4210100058F000
58-G,4210100058G000
58-H,4210100058H000
58-I,4210100058I000
58-J,4210100058J000
58-K,4210100058K000
58-L,4210100058L000
58-M,4210100058M000
59-A,4210100059A000
59-B,4210100059B000
59-C,4210100059C000
59-D,4210100059D000
59-E,4210100059
59-F,4210100059F000
59-G,4210100059G000
59-H,4210100059H000
59-I,4210100059I000
59-J,4210100059J000
59-K,4210100059K000
59-L,4210100059L000
59-M,4210100059M000
59-N,4210100059N000
59-O,4210100059O000
59-P,4210100059P000
59-Q,4210100059Q000
59-R,4210100059R000
59-S,4210100059S000
